timestamp,source_ip,destination_ip,src_port,dst_port,protocol,final_label,confidence,attack_votes,total_models,threshold,vote_k,agg_method,model_probabilities
2026-01-06 22:38:21,10.11.163.74,10.11.163.210,53,49671,TCP,ATTACK,0.426281,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.0, 'DecisionTree': 1.0, 'RandomForest': 0.37, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 1.0}"
2026-01-06 22:38:21,10.11.163.74,10.11.163.210,53,54551,TCP,ATTACK,0.426281,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.0, 'DecisionTree': 1.0, 'RandomForest': 0.37, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 1.0}"
2026-01-06 22:38:21,10.11.163.74,10.11.163.210,53,59270,TCP,ATTACK,0.426281,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.0, 'DecisionTree': 1.0, 'RandomForest': 0.37, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 1.0}"
2026-01-06 22:38:21,10.11.163.210,10.11.163.74,54845,53,TCP,ATTACK,0.376281,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.6, 'DecisionTree': 1.0, 'RandomForest': 0.37, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 0.0}"
2026-01-06 22:38:21,10.11.163.74,10.11.163.210,53,54845,TCP,ATTACK,0.426281,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.0, 'DecisionTree': 1.0, 'RandomForest': 0.37, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 1.0}"
2026-01-06 22:38:21,10.11.163.210,10.11.163.74,61313,53,TCP,ATTACK,0.376281,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.6, 'DecisionTree': 1.0, 'RandomForest': 0.37, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 0.0}"
2026-01-06 22:38:21,10.11.163.210,10.11.163.74,54556,53,TCP,ATTACK,0.376281,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.6, 'DecisionTree': 1.0, 'RandomForest': 0.37, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 0.0}"
2026-01-06 22:38:21,10.11.163.210,10.11.163.74,50821,53,TCP,ATTACK,0.376281,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.6, 'DecisionTree': 1.0, 'RandomForest': 0.37, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 0.0}"
2026-01-06 22:38:21,10.11.163.74,10.11.163.210,53,61313,TCP,ATTACK,0.426281,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.0, 'DecisionTree': 1.0, 'RandomForest': 0.37, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 1.0}"
2026-01-06 22:38:21,10.11.163.74,10.11.163.210,53,54556,TCP,ATTACK,0.426281,3,8,0.5,3,voting+mean,"{'LogisticRegression': 0.0, 'NaiveBayes': 0.0, 'SupportVectorMachine': 0.040245, 'KNN': 0.0, 'DecisionTree': 1.0, 'RandomForest': 0.37, 'GradientBoosting': 1.0, 'MultiLayerPerceptron': 1.0}"
